Район,Улица,Станция метро,"Время до метро, мин.",Количество комнат,"Общая площадь, м.кв.","Жилая площадь, м.кв.",Цена,Год постройки,Тип дома,Этаж,Количество этажей в доме,"Площадь кухни, м.кв.",Количество санузлов,Тип ремонта,Количество подъездов в доме
Печатники, Шоссейная ул.,Печатники,3,1,32.8,19,8900000.0,1969,Панельный,6,9,7,1,Косметический,8
Пресненский, Большой Гнездниковский пер.,Пушкинская,4,3,143.7,92,167000000.0,2008,,4,6,20,2,Евроремонт,4
Проспект, просп. Вернадского,Проспект Вернадского,4,3,134.0,90,66000000.0,2004,Кирпичный,25,30,22,2,Дизайнерский,1
Южнопортовый, Волгоградский просп.,Волгоградский проспект,5,1,38.0,14,14000000.0,2022,Монолитный,9,30,18,1,Без ремонта,11
Пресненский, Большой Гнездниковский пер.,Пушкинская,4,3,145.0,110,167000000.0,2008,,4,6,20,2,Дизайнерский,4
Замоскворечье, ул. Бахрушина,Павелецкая,9,3,135.0,24,156000000.0,2006,,7,9,10,2,Дизайнерский,4
Ясенево, Новоясеневский просп.,Новоясеневская,3,3,54.0,42,13300000.0,1977,Панельный,5,9,7,1,Евроремонт,12
Хамовники, ул. Усачева,Спортивная,9,3,150.7,24,170000000.0,2003,Монолитно-кирпичный,10,13,28,3,Без ремонта,3
Дорогомилово, Кутузовский просп.,Москва-Сити,15,3,105.6,62,89900000.0,2003,,10,18,11,2,Без ремонта,3
Очаково-Матвеевское, Озерная ул.,Озёрная,5,2,40.8,29,14900000.0,1974,Блочный,8,14,7,1,Дизайнерский,3
Пресненский, 1-й Красногвардейский проезд,Москва-Сити,3,2,76.1,24,62000000.0,2020,Монолитный,34,78,10,1,Дизайнерский,3
Хамовники, ул. Усачева,Фрунзенская,12,2,142.0,24,229559750.0,2008,Монолитно-кирпичный,8,11,56,2,Евроремонт,10
Отрадное, ул. Бестужевых,Отрадное,14,1,36.0,24,12500000.0,1976,Панельный,6,9,10,1,Дизайнерский,4
Хорошевский, Ленинградский просп.,Аэропорт,13,2,69.3,45,52000000.0,2021,,3,5,8,1,Дизайнерский,1
Пресненский, Большая Грузинская ул.,Белорусская,12,3,126.3,24,75000000.0,2001,Монолитный,3,18,10,2,Дизайнерский,3
Лосиноостровский, ул. Коминтерна,Бабушкинская,15,3,64.7,43,17000000.0,1971,Блочный,11,14,9,1,Евроремонт,1
Хорошевский, Ленинградский просп.,Аэропорт,13,3,88.3,45,58500000.0,2003,Монолитный,17,41,9,2,Без ремонта,3
